task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Integration Run 1,2025-07-31T15:11:31,Herwig Integration Phase,b3abf08b-1f10-4a96-bcfc-876f9da80ed9,2.9532344000035664,2.8924028153979757e-06,9.779449677586647e-07,4.8141255036,0.0,10.0,3.956635449381058e-06,0.0,8.21734068334384e-06,1.2173976132724898e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Integration Run 2,2025-07-31T15:12:20,Herwig Integration Phase,b3abf08b-1f10-4a96-bcfc-876f9da80ed9,2.667996439995477,2.609596140123637e-06,9.778860372745704e-07,4.8173857104,0.0,10.0,3.5713538460952953e-06,0.0,7.412303394448829e-06,1.0983657240544122e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Integration Run 3,2025-07-31T15:13:09,Herwig Integration Phase,b3abf08b-1f10-4a96-bcfc-876f9da80ed9,2.840300413001387,2.769977662175037e-06,9.759525639769608e-07,4.828537401600001,0.0,10.0,3.796839228768923e-06,0.0,7.861855669458843e-06,1.1658694898227765e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Integration Run 4,2025-07-31T15:14:03,Herwig Integration Phase,b3abf08b-1f10-4a96-bcfc-876f9da80ed9,2.8664372230050503,2.8081942281115037e-06,9.785024139221879e-07,4.820426256,0.0,10.0,3.84466795833201e-06,0.0,7.974878519457385e-06,1.1819546477789395e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Integration Run 5,2025-07-31T15:14:52,Herwig Integration Phase,b3abf08b-1f10-4a96-bcfc-876f9da80ed9,2.5232621309987735,2.470760183060753e-06,9.786944257251257e-07,4.8198182736,0.0,10.0,3.3826108074248916e-06,0.0,7.0166929611029165e-06,1.0399303768527808e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Integration Run 6,2025-07-31T15:15:41,Herwig Integration Phase,b3abf08b-1f10-4a96-bcfc-876f9da80ed9,2.578233068998088,2.523061322658268e-06,9.785249002257846e-07,4.8397575216,0.0,10.0,3.46366650682198e-06,0.0,7.155770094444351e-06,1.0619436601266331e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Integration Run 7,2025-07-31T15:16:29,Herwig Integration Phase,b3abf08b-1f10-4a96-bcfc-876f9da80ed9,2.5050013900035992,2.4515451217776676e-06,9.780707967301572e-07,4.8164675808,0.0,10.0,3.3545448098009366e-06,0.0,6.963883744457335e-06,1.0318428554258275e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Integration Run 8,2025-07-31T15:17:18,Herwig Integration Phase,b3abf08b-1f10-4a96-bcfc-876f9da80ed9,2.551360936005949,2.492859747449878e-06,9.757216976664793e-07,4.8205799328,0.0,10.0,3.4130363705732225e-06,0.0,7.0792833388825055e-06,1.0492319709455735e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Integration Run 9,2025-07-31T15:18:11,Herwig Integration Phase,b3abf08b-1f10-4a96-bcfc-876f9da80ed9,2.5368237560032867,2.4814563124807266e-06,9.780683768133592e-07,4.8173930544,0.0,10.0,3.3961325435812734e-06,0.0,7.048190688894665e-06,1.0444323232475938e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Integration Run 10,2025-07-31T15:19:04,Herwig Integration Phase,b3abf08b-1f10-4a96-bcfc-876f9da80ed9,2.5053155999994488,2.447083821290856e-06,9.767283328058946e-07,4.8173933280000005,0.0,10.0,3.3489153260684895e-06,0.0,6.95073584166594e-06,1.029965116773443e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
