task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Integration Run 1,2025-07-30T16:25:36,Herwig Integration Phase,af2640d0-b376-4d84-a807-c5b3cccc6332,2.622889860000214,9.088345993813026e-06,3.464309159734402e-06,42.5,0.0,10.0,3.096766346250838e-05,0.0,7.284721933334974e-06,3.825238539584335e-05,United Kingdom,GBR,,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-0.1224,51.4964,3.6808700561523438,machine,N
Integration Run 2,2025-07-30T16:26:01,Herwig Integration Phase,af2640d0-b376-4d84-a807-c5b3cccc6332,2.694329503001427,9.339057183765213e-06,3.464437292909539e-06,42.5,0.0,10.0,3.1821719733341074e-05,0.0,7.485896291665186e-06,3.930761602500626e-05,United Kingdom,GBR,,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-0.1224,51.4964,3.6808700561523438,machine,N
Integration Run 3,2025-07-30T16:26:25,Herwig Integration Phase,af2640d0-b376-4d84-a807-c5b3cccc6332,2.633295210000142,9.125203264640273e-06,3.4643650409716934e-06,42.5,0.0,10.0,3.1093264668744625e-05,0.0,7.3142511027779425e-06,3.8407515771522564e-05,United Kingdom,GBR,,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-0.1224,51.4964,3.6808700561523438,machine,N
Integration Run 4,2025-07-30T16:26:49,Herwig Integration Phase,af2640d0-b376-4d84-a807-c5b3cccc6332,2.7965220410005713,9.691502836491875e-06,3.4645577217937818e-06,42.5,0.0,10.0,3.302279360417514e-05,0.0,7.768248222222003e-06,4.0791041826397146e-05,United Kingdom,GBR,,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-0.1224,51.4964,3.6808700561523438,machine,N
Integration Run 5,2025-07-30T16:27:14,Herwig Integration Phase,af2640d0-b376-4d84-a807-c5b3cccc6332,2.869790049000585,9.945503970987786e-06,3.464274380535381e-06,42.5,0.0,10.0,3.388842986180155e-05,0.0,7.971689802778e-06,4.186011966457955e-05,United Kingdom,GBR,,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-0.1224,51.4964,3.6808700561523438,machine,N
Integration Run 6,2025-07-30T16:27:39,Herwig Integration Phase,af2640d0-b376-4d84-a807-c5b3cccc6332,2.5904118779999408,8.977942079034465e-06,3.4643841412922787e-06,42.5,0.0,10.0,3.0591167933351286e-05,0.0,7.196533008335687e-06,3.778770094168697e-05,United Kingdom,GBR,,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-0.1224,51.4964,3.6808700561523438,machine,N
Integration Run 7,2025-07-30T16:28:04,Herwig Integration Phase,af2640d0-b376-4d84-a807-c5b3cccc6332,2.4252044879995083,8.405262272373705e-06,3.464468403905774e-06,42.5,0.0,10.0,2.8640042859020312e-05,0.0,6.7372779444415035e-06,3.537732080346185e-05,United Kingdom,GBR,,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-0.1224,51.4964,3.6808700561523438,machine,N
Integration Run 8,2025-07-30T16:28:29,Herwig Integration Phase,af2640d0-b376-4d84-a807-c5b3cccc6332,2.575007736000771,8.919977688691549e-06,3.4621879347471446e-06,42.5,0.0,10.0,3.0393727855560984e-05,0.0,7.150003919443611e-06,3.754373177500454e-05,United Kingdom,GBR,,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-0.1224,51.4964,3.6808700561523438,machine,N
Integration Run 9,2025-07-30T16:28:53,Herwig Integration Phase,af2640d0-b376-4d84-a807-c5b3cccc6332,2.5529052679994493,8.846793168655907e-06,3.4643596664255437e-06,42.5,0.0,10.0,3.0144526685421636e-05,0.0,7.091175172222902e-06,3.723570185764453e-05,United Kingdom,GBR,,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-0.1224,51.4964,3.6808700561523438,machine,N
Integration Run 10,2025-07-30T16:29:18,Herwig Integration Phase,af2640d0-b376-4d84-a807-c5b3cccc6332,2.683351029998448,9.298190246133833e-06,3.4644981038418534e-06,42.5,0.0,10.0,3.1682286052085176e-05,0.0,7.453323113885648e-06,3.9135609165970797e-05,United Kingdom,GBR,,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-0.1224,51.4964,3.6808700561523438,machine,N
