filename,number_of_events,mean_emissions,emissions_err,mean_duration,duration_err,mean_cpu_power,cpu_power_err,mean_ram_power,ram_power_err,mean_cpu_energy,cpu_energy_err,mean_ram_energy,ram_energy_err,cpu_energy_per_event,cpu_energy_per_event_err,ram_energy_per_event,ram_energy_per_event_err,duration_per_event,duration_per_event_err
20250730Gen_metadata-1000-4.csv,1000,5.5826643316081575e-05,3.1855025136388304e-07,16.11306725890008,0.0919675762487691,42.5,0.0,10.0,0.0,0.00019021622139250998,1.0853461128703333e-06,4.475527693472082e-05,2.554156846097867e-07,1.9021622139250998e-07,1.0853461128703333e-09,4.4755276934720823e-08,2.554156846097867e-10,0.01611306725890008,9.19675762487691e-05
20250730Gen_metadata-2000-4.csv,2000,6.948642015366965e-05,6.792533211534609e-07,20.055455190799695,0.19598806414456804,42.5,0.0,10.0,0.0,0.00023675843676044,2.3143702441361935e-06,5.5706366549722797e-05,5.445723966694098e-07,1.1837921838021999e-07,1.1571851220680967e-09,2.7853183274861397e-08,2.7228619833470487e-10,0.010027727595399848,9.799403207228402e-05
20250731Gen_metadata-3000-4.csv,3000,3.1758460404739496e-05,1.5870986889536455e-06,28.22191295740013,0.9107759239934106,6.983215388575715,0.33055600431010534,10.0,0.0,5.530403929932777e-05,4.317253584882329e-06,7.836570300666911e-05,2.522017797389703e-06,1.843467976644259e-08,1.4390845282941096e-09,2.6121901002223037e-08,8.406725991299011e-10,0.009407304319133376,0.0003035919746644702
20250731Gen_metadata-4000-4.csv,4000,3.637761596864936e-05,2.2323957161458342e-06,33.60222123809981,2.0494307638716567,6.400750155849529,0.052454193356316625,10.0,0.0,5.977773300244167e-05,3.731446610296566e-06,9.333379980694235e-05,5.682503105687055e-06,1.4944433250610418e-08,9.328616525741415e-10,2.333344995173559e-08,1.4206257764217636e-09,0.008400555309524951,0.0005123576909679141
20250730Gen_metadata-5000-4.csv,5000,0.00011062703500357,1.5129083621302015e-06,31.929310953999995,0.436616326519236,42.5,0.0,10.0,0.0,0.00037693468957397,5.1548732330810324e-06,8.86888662455562e-05,1.2128810086689792e-06,7.5386937914794e-08,1.0309746466162064e-09,1.7737773249111242e-08,2.4257620173379583e-10,0.006385862190799999,8.73232653038472e-05
20250731Gen_metadata-6000-4.csv,6000,4.519487677027383e-05,1.1966413938185104e-06,41.787151281599655,1.109676763537139,6.388193243891804,0.020105444034403987,10.0,0.0,7.414867426112897e-05,1.9648794226281953e-06,0.00011607426017719001,3.0810491014514566e-06,1.2358112376854828e-08,3.2747990377136587e-10,1.9345710029531668e-08,5.135081835752428e-10,0.0069645252135999425,0.0001849461272561898
20250730Gen_metadata-7000-4.csv,7000,0.00013640330266146,7.567187910491236e-07,39.36860123850001,0.21838282113070454,42.5,0.0,10.0,0.0,0.00046476080181259,2.57830857758255e-06,0.00010935375172939001,6.066822849839125e-07,6.639440025894143e-08,3.6832979679750713e-10,1.562196453277e-08,8.666889785484463e-11,0.005624085891214287,3.1197545875814934e-05
20250731Gen_metadata-8000-4.csv,8000,5.1468725618598216e-05,5.936209263118297e-07,47.53815314789972,0.5255410376345717,6.4051435059850705,0.022052266004375837,10.0,0.0,8.458651200457992e-05,1.0588619808488374e-06,0.00013204273269357,1.4592006318285916e-06,1.057331400057249e-08,1.3235774760610467e-10,1.650534158669625e-08,1.8240007897857394e-10,0.005942269143487465,6.569262970432146e-05
20250730Gen_metadata-9000-4.csv,9000,0.00017750821517793002,7.0799418480008165e-06,51.23950800849998,2.046538090879289,42.5,0.0,10.0,0.0,0.00060482074245599,2.412564646498892e-05,0.00014230229429218003,5.673468867694804e-06,6.720230471733222e-08,2.6806273849987686e-09,1.5811366032464446e-08,6.303854297438671e-10,0.005693278667611109,0.00022739312120880989
20250730Gen_metadata-10000-4.csv,10000,0.00018689367018544,5.301799746917342e-06,53.94215272399997,1.5303196824308363,42.5,0.0,10.0,0.0,0.00063680046522794,1.80650843750296e-05,0.00014982547362218,4.2499211675543365e-06,6.3680046522794e-08,1.8065084375029602e-09,1.4982547362218e-08,4.2499211675543366e-10,0.005394215272399997,0.00015303196824308362
