task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Integration Run 1,2025-07-30T16:19:11,Herwig Integration Phase,c56daff8-64aa-47c9-8d31-8f91d002564b,2.6068313699997816,9.034073479968031e-06,3.464466134611612e-06,42.5,0.0,10.0,3.07823927993051e-05,0.0,7.241562349999085e-06,3.8023955149304184e-05,United Kingdom,GBR,,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-0.1224,51.4964,3.6808700561523438,machine,N
Integration Run 2,2025-07-30T16:19:31,Herwig Integration Phase,c56daff8-64aa-47c9-8d31-8f91d002564b,2.6949106879983447,9.340297205462755e-06,3.4644853395728894e-06,42.5,0.0,10.0,3.182571377706532e-05,0.0,7.487121436108484e-06,3.9312835213173815e-05,United Kingdom,GBR,,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-0.1224,51.4964,3.6808700561523438,machine,N
Integration Run 3,2025-07-30T16:19:52,Herwig Integration Phase,c56daff8-64aa-47c9-8d31-8f91d002564b,2.8515166669985774,9.89189459972862e-06,3.4645572747132492e-06,42.5,0.0,10.0,3.370505701251685e-05,0.0,7.929423538891772e-06,4.163448055140862e-05,United Kingdom,GBR,,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-0.1224,51.4964,3.6808700561523438,machine,N
Integration Run 4,2025-07-30T16:20:13,Herwig Integration Phase,c56daff8-64aa-47c9-8d31-8f91d002564b,2.599888713000837,9.00920746455967e-06,3.46444445891981e-06,42.5,0.0,10.0,3.069776612638608e-05,0.0,7.221529230552429e-06,3.791929535693853e-05,United Kingdom,GBR,,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-0.1224,51.4964,3.6808700561523438,machine,N
Integration Run 5,2025-07-30T16:20:34,Herwig Integration Phase,c56daff8-64aa-47c9-8d31-8f91d002564b,2.6059535589993175,9.032908227684653e-06,3.464125193631016e-06,42.5,0.0,10.0,3.0778183245129434e-05,0.0,7.240867416663201e-06,3.8019050661792635e-05,United Kingdom,GBR,,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-0.1224,51.4964,3.6808700561523438,machine,N
Integration Run 6,2025-07-30T16:20:55,Herwig Integration Phase,c56daff8-64aa-47c9-8d31-8f91d002564b,2.5956859870002518,8.996202618991755e-06,3.4641446083168336e-06,42.5,0.0,10.0,3.065354772153594e-05,0.0,7.211010902776453e-06,3.786455862431239e-05,United Kingdom,GBR,,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-0.1224,51.4964,3.6808700561523438,machine,N
Integration Run 7,2025-07-30T16:21:15,Herwig Integration Phase,c56daff8-64aa-47c9-8d31-8f91d002564b,2.631961561000935,9.120637812822903e-06,3.464158107117552e-06,42.5,0.0,10.0,3.107712064235482e-05,0.0,7.311179374998272e-06,3.8388300017353096e-05,United Kingdom,GBR,,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-0.1224,51.4964,3.6808700561523438,machine,N
Integration Run 8,2025-07-30T16:21:36,Herwig Integration Phase,c56daff8-64aa-47c9-8d31-8f91d002564b,2.691554222999912,9.323300921618358e-06,3.462536523597938e-06,42.5,0.0,10.0,3.1767870261803114e-05,0.0,7.473428458332718e-06,3.924129872013584e-05,United Kingdom,GBR,,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-0.1224,51.4964,3.6808700561523438,machine,N
Integration Run 9,2025-07-30T16:21:57,Herwig Integration Phase,c56daff8-64aa-47c9-8d31-8f91d002564b,2.586027056000603,8.961203228799211e-06,3.4644170999936926e-06,42.5,0.0,10.0,3.053376533193212e-05,0.0,7.183482641666063e-06,3.771724797359819e-05,United Kingdom,GBR,,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-0.1224,51.4964,3.6808700561523438,machine,N
Integration Run 10,2025-07-30T16:22:18,Herwig Integration Phase,c56daff8-64aa-47c9-8d31-8f91d002564b,2.556454253000993,8.858592546704454e-06,3.464181182752686e-06,42.5,0.0,10.0,3.018418779165711e-05,0.0,7.101177047222029e-06,3.7285364838879126e-05,United Kingdom,GBR,,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-0.1224,51.4964,3.6808700561523438,machine,N
