timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue,task_name
2025-08-04T11:33:45,Herwig Integration Repeats,c7b25850-0e64-4b6f-bbaa-1b766c26ec30,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.4593340860001263,2.403990497787212e-06,9.77582041009941e-07,4.8154175904,0.0,10.0,3.2890463139602422e-06,0.0,6.829227249997732e-06,1.0118273563957976e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808624267578125,machine,N,1.0,Integration Run 3
2025-08-04T11:34:13,Herwig Integration Repeats,c7b25850-0e64-4b6f-bbaa-1b766c26ec30,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.4382112779994713,2.3855288587398864e-06,9.779113386162847e-07,4.8180029952000005,0.0,10.0,3.265008201615214e-06,0.0,6.775561263889862e-06,1.0040569465505078e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808624267578125,machine,N,1.0,Integration Run 4
2025-08-04T11:34:42,Herwig Integration Repeats,c7b25850-0e64-4b6f-bbaa-1b766c26ec30,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.456452868999804,2.4034521949984536e-06,9.779893863732216e-07,4.8186639696,0.0,10.0,3.2897966443799887e-06,0.0,6.826211230557214e-06,1.0116007874937203e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808624267578125,machine,N,1.0,Integration Run 5
2025-08-04T11:35:11,Herwig Integration Repeats,c7b25850-0e64-4b6f-bbaa-1b766c26ec30,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.441579981000359,2.3860959937614734e-06,9.773881691810894e-07,4.814260953600001,0.0,10.0,3.2640849607042718e-06,0.0,6.778871547221066e-06,1.0042956507925338e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808624267578125,machine,N,1.0,Integration Run 6
2025-08-04T11:35:39,Herwig Integration Repeats,c7b25850-0e64-4b6f-bbaa-1b766c26ec30,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.446686951000629,2.3901337946493344e-06,9.774698502171668e-07,4.817184700800001,0.0,10.0,3.2709322395401216e-06,0.0,6.789019166666957e-06,1.0059951406207079e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808624267578125,machine,N,1.0,Integration Run 7
2025-08-04T11:36:07,Herwig Integration Repeats,c7b25850-0e64-4b6f-bbaa-1b766c26ec30,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.442172226999901,2.385588102569903e-06,9.772382721217397e-07,4.8149257728,0.0,10.0,3.263565603103113e-06,0.0,6.7772532166650835e-06,1.0040818819768193e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808624267578125,machine,N,1.0,Integration Run 8
2025-08-04T11:36:36,Herwig Integration Repeats,c7b25850-0e64-4b6f-bbaa-1b766c26ec30,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.4456824039998537,2.39161733961151e-06,9.778645185212774e-07,4.817077132800001,0.0,10.0,3.2728522825024887e-06,0.0,6.793343288889754e-06,1.0066195571392233e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808624267578125,machine,N,1.0,Integration Run 9
2025-08-04T11:37:05,Herwig Integration Repeats,c7b25850-0e64-4b6f-bbaa-1b766c26ec30,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.58302747200014,2.5262160880432304e-06,9.776761984354252e-07,4.816173547200001,0.0,10.0,3.456606611980413e-06,0.0,7.176108236111155e-06,1.0632714848091571e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808624267578125,machine,N,1.0,Integration Run 10
