task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Integration Run 1,2025-07-31T10:37:09,Herwig Integration Phase,eb827e91-831d-458a-8694-d0ccd7b343f6,4.319443299998966,4.223301948474267e-06,9.774831545091712e-07,4.82141012736,0.0,10.0,5.7832409506045855e-06,0.0,1.199242184722809e-05,1.7775662797832675e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Integration Run 2,2025-07-31T10:38:00,Herwig Integration Phase,eb827e91-831d-458a-8694-d0ccd7b343f6,3.57017405499937,3.496590167447645e-06,9.791274651974216e-07,4.8236366316,0.0,10.0,4.789477605287092e-06,0.0,9.927492319446983e-06,1.4716969924734075e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Integration Run 3,2025-07-31T10:38:50,Herwig Integration Phase,eb827e91-831d-458a-8694-d0ccd7b343f6,3.515594250999129,3.4375566717522203e-06,9.779297512917868e-07,4.8234537012,0.0,10.0,4.708483403623594e-06,0.0,9.760017544451533e-06,1.4468500948075127e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Integration Run 4,2025-07-31T10:39:39,Herwig Integration Phase,eb827e91-831d-458a-8694-d0ccd7b343f6,3.5590461009996943,3.477150917371342e-06,9.765678919883708e-07,4.8197158752,0.0,10.0,4.7601659279207175e-06,0.0,9.87498518333167e-06,1.4635151111252381e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Integration Run 5,2025-07-31T10:40:30,Herwig Integration Phase,eb827e91-831d-458a-8694-d0ccd7b343f6,3.463294192999456,3.3953900889230865e-06,9.802720159960417e-07,4.8209093832,0.0,10.0,4.6490496041531374e-06,0.0,9.641974344443348e-06,1.4291023948596472e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Integration Run 6,2025-07-31T10:41:18,Herwig Integration Phase,eb827e91-831d-458a-8694-d0ccd7b343f6,3.529489594999177,3.4376501612186464e-06,9.745770272662423e-07,4.8209918628,0.0,10.0,4.706946776586674e-06,0.0,9.76194766389098e-06,1.4468894440477654e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Integration Run 7,2025-07-31T10:42:01,Herwig Integration Phase,eb827e91-831d-458a-8694-d0ccd7b343f6,3.3475432470004307,3.271179245403679e-06,9.770361472227475e-07,4.8150697692,0.0,10.0,4.475194676253193e-06,0.0,9.293032158337971e-06,1.3768226834591157e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Integration Run 8,2025-07-31T10:42:45,Herwig Integration Phase,eb827e91-831d-458a-8694-d0ccd7b343f6,3.3497006659999897,3.2713264362866183e-06,9.769637428530228e-07,4.8149300712,0.0,10.0,4.475351547960827e-06,0.0,9.293494805559828e-06,1.3768846353520654e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Integration Run 9,2025-07-31T10:43:27,Herwig Integration Phase,eb827e91-831d-458a-8694-d0ccd7b343f6,3.345750404001592,3.2723847180510516e-06,9.783328873748328e-07,4.8174440304,0.0,10.0,4.478274802008338e-06,0.0,9.295025805557898e-06,1.3773300607566229e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Integration Run 10,2025-07-31T10:44:11,Herwig Integration Phase,eb827e91-831d-458a-8694-d0ccd7b343f6,3.348067907998484,3.2702193327044924e-06,9.77095206454e-07,4.8150697692,0.0,10.0,4.474069797043509e-06,0.0,9.29011681388753e-06,1.3764186610931039e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
