task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Integration Run 1,2025-07-30T16:31:28,Herwig Integration Phase,d1805c1a-77a9-414f-81ca-9b7410e38cce,2.7034022089992504,9.374134256315689e-06,3.4644935960375215e-06,42.5,0.0,10.0,3.19411916368103e-05,0.0,7.514061999998173e-06,3.945525363680848e-05,United Kingdom,GBR,,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-0.1224,51.4964,3.6808700561523438,machine,N
Integration Run 2,2025-07-30T16:32:11,Herwig Integration Phase,d1805c1a-77a9-414f-81ca-9b7410e38cce,2.697771441000441,9.347703590797783e-06,3.4644127302529885e-06,42.5,0.0,10.0,3.185091729237558e-05,0.0,7.4930910194477e-06,3.9344008311823284e-05,United Kingdom,GBR,,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-0.1224,51.4964,3.6808700561523438,machine,N
Integration Run 3,2025-07-30T16:32:55,Herwig Integration Phase,d1805c1a-77a9-414f-81ca-9b7410e38cce,2.748541192999255,9.528783712247538e-06,3.464466691163193e-06,42.5,0.0,10.0,3.246815319792077e-05,0.0,7.638012122222589e-06,4.0106165320143356e-05,United Kingdom,GBR,,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-0.1224,51.4964,3.6808700561523438,machine,N
Integration Run 4,2025-07-30T16:33:39,Herwig Integration Phase,d1805c1a-77a9-414f-81ca-9b7410e38cce,2.6282271839991154,9.111450923322554e-06,3.4644991052062526e-06,42.5,0.0,10.0,3.10461701590258e-05,0.0,7.303462708331507e-06,3.834963286735731e-05,United Kingdom,GBR,,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-0.1224,51.4964,3.6808700561523438,machine,N
Integration Run 5,2025-07-30T16:34:22,Herwig Integration Phase,d1805c1a-77a9-414f-81ca-9b7410e38cce,2.5648588639996888,8.888841389884252e-06,3.4644970674219093e-06,42.5,0.0,10.0,3.0287537520841087e-05,0.0,7.125143158332828e-06,3.74126806791739e-05,United Kingdom,GBR,,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-0.1224,51.4964,3.6808700561523438,machine,N
Integration Run 6,2025-07-30T16:35:06,Herwig Integration Phase,d1805c1a-77a9-414f-81ca-9b7410e38cce,2.6794976580004004,9.287289124774951e-06,3.464510795702912e-06,42.5,0.0,10.0,3.164527633194513e-05,0.0,7.444450569447426e-06,3.908972690139256e-05,United Kingdom,GBR,,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-0.1224,51.4964,3.6808700561523438,machine,N
Integration Run 7,2025-07-30T16:35:49,Herwig Integration Phase,d1805c1a-77a9-414f-81ca-9b7410e38cce,2.637711929000943,9.136766111622778e-06,3.4643790327007495e-06,42.5,0.0,10.0,3.113240056943847e-05,0.0,7.32378263610877e-06,3.8456183205547276e-05,United Kingdom,GBR,,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-0.1224,51.4964,3.6808700561523438,machine,N
Integration Run 8,2025-07-30T16:36:33,Herwig Integration Phase,d1805c1a-77a9-414f-81ca-9b7410e38cce,2.6500482319988805,9.174331114053457e-06,3.461313079679356e-06,42.5,0.0,10.0,3.126067664305639e-05,0.0,7.353615744442422e-06,3.8614292387498836e-05,United Kingdom,GBR,,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-0.1224,51.4964,3.6808700561523438,machine,N
Integration Run 9,2025-07-30T16:37:17,Herwig Integration Phase,d1805c1a-77a9-414f-81ca-9b7410e38cce,2.7643733880013315,9.577589776401822e-06,3.4646003357182262e-06,42.5,0.0,10.0,3.263441498057521e-05,0.0,7.677172577779047e-06,4.031158755835425e-05,United Kingdom,GBR,,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-0.1224,51.4964,3.6808700561523438,machine,N
Integration Run 10,2025-07-30T16:38:02,Herwig Integration Phase,d1805c1a-77a9-414f-81ca-9b7410e38cce,2.5813353930006997,8.951746030663274e-06,3.464302364719793e-06,42.5,0.0,10.0,3.0502276113876785e-05,0.0,7.175166994445844e-06,3.7677443108322616e-05,United Kingdom,GBR,,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-0.1224,51.4964,3.6808700561523438,machine,N
